"Submission Date","","","Name as many attractions as you can that had FastPass+ as of March 1, 2020 (i.e., before the parks closed).","","Children leaving this location are given a bookmark to commemorate their visit","Belle and Aurora trade off meeting at this Epcot pavilion","This Hollywood Studios restaurant features a princess, among other characters","Jasmine can often be found with Aladdin at a space in this Adventureland shopping area","One princess was evicted to make way for four in this location that opened in 2013","Originally named after the King from a 1959 film","","This seasonally themed location took the space of an entire Epcot pavilion expansion pad","This closed location featured North American animals","It’s original location opened in 1996 relatively close to its current location that opened in 2012","This location is based on a fortress from the 13th Century","You’ll be wishing you’d bought some caramel corn right next door while waiting for Snow White at this pavilion","This location was once called Spoodles","","","Horizons - 1983","Splash Mountain - 2018","Spaceship Earth - 1982","Space Mountain - 1975","The Land - 1982","The Living Seas - 1986","IllumiNations: Reflections of Earth - 2007","Captain Eo - 1986","","it’s a small world - 1991","Enchanted Tiki Room - 1971","Tomorrowland Transit Authority - 2005","Wonders of Life - 1989","World of Motion - 1982","Rock’n’Rollercoaster - 2008","Dinosaur - 1998","If You Had Wings - 1972","","","Person #1","Person #2","Person #3 (or at least, who this *should* be)","Person #4","Person #5","Person #6","","Person #7","Person #8","Person #9","Person #10","Person #11","Person #12","","Person #13","Person #14","Person #15","Person #16","Person #17","Person #18",""
"2020-07-08 12:28:09","Time remaining: 00:00","Time remaining: 00:00","Space Mountain
 Fantasmic!","Time remaining: 00:00","Storybook Tales with Belle","France","Vine and Dine","Bazaar something...","Princess Fairytale Hall","","Time remaining: 00:00","Wonders of Life","","","Canada Pavillion","Germany","Splitsville","Time remaining: 00:00","Time remaining: 00:00","GE","Ziploc","Bell","RCA","Kraft","Dasani lol","Siemens","Moonwalk Inc.","Time remaining: 00:00","Great job with these, very tough!","Dole","Goodyear","MetLife","GM","Hanes","McDonald’s","Delta","Time remaining: 00:00","Time remaining: 02:36","Patrick Warburton","Neil Patrick Harris","Ellen Degeneres (guess I’m not sleeping tonight ;))","Martin Short","Gilbert Godfried","Robin Williams","Time remaining: 02:36","Gary Sinise","Phylicia Rashad","","Allison Janney","Michael Jackson","","Time remaining: 02:36","Dame Judi Dench","Howard Stern","","","Ray Romano","A loser? (Im a Phillies fan ;))","Time remaining: 02:35"
"2020-07-07 01:35:37","Time remaining: 00:00","Time remaining: 00:00","Jungle cruise
 Space mountain
 Splash mountain
 Big thunder mountain
 Pixar short film festival
 Spaceship earth
 Mission space
 Soarin
 Frozen ever after
 Safari
 Primevil whirl
 Dinasour
 Peter pan flight
 Test track
 Seas with Nemo and friends
 Turtle talk with crush
 Rocking roller coaster
 Tower of terror
 Toy story mania
 Alien swirling saucers
 Slinky dog dash
 Smugglers run
 Haunted mansion
 It's a small world
 Many adventures","Time remaining: 00:00","Story time with belle","France","Hollywood and dime","Adventureland bizzare","Princess fairytale hall","","Time remaining: 00:00","","","Dumbo","Le cellier","Germany","Flying fish","Time remaining: 00:00","Time remaining: 00:00","GE","Ziplock ","At&t","Coke","Chiquita","Red lobster","Pandora","Kodak","Time remaining: 00:00","","It wasn't enchanted tiki room, it was tropical serenade","Goodyear","","General motors","Heins","Mcdonalds","Eastern air","Time remaining: 00:00","Time remaining: 05:08","Patrick warburten","","Ellen","","","Robin Williams","Time remaining: 05:08","","","","","Michael Jackson","","Time remaining: 05:08","","","","","","","Time remaining: 05:07"
"2020-07-07 00:47:23","Time remaining: 00:00","Time remaining: 00:00","Rise of the resistance
 Skinny dog dash
 Mickey and minnies
 Thunder mountain
 Space mountain
 Splash mountain
 Peter pans flight 
 Pooh’s adventure
 Soarin’
 Happily ever after
 Fantastic
 Rock n roller coaster
 Tower of terror
 Toy story mania
 Star tours
 Expedition Everest
 Dinosaur
 Birds show
 Lion king
 Buzz light year space ranger","Time remaining: 00:00","?","Italy","Cinderella’s castle","?","?","Louis","Time remaining: 00:00","?","?","?","?","?","?","Time remaining: 00:00","Time remaining: 01:31","?","?","?","?","?","?","?","?","Time remaining: 01:31","?","?","?","?","?","Aerosmith","?","?","Time remaining: 01:31","Time remaining: 04:29","Meh","Neil Patrick Harris","?","Meh","Peewee Herman ","Robin williams","Time remaining: 04:17","?","?","?","?","Michael Jackson","Seinfeld guy","Time remaining: 04:17","Julie andrews","Richard simmons","?","?","?","?","Time remaining: 04:16"
"2020-07-06 23:26:03","Time remaining: 00:00","Time remaining: 00:00","carousel of progress
 space mountain
 splash mountain
 Thunder Mountain
 Flight of Passage
 Navi River Journey
 Haunted Mansion
 Jungle Cruise
 Slinky Dog Dash
 Alien Swirling Saucer
 Toy Story Mania
 Dinosaur
 Seven Dwarves Mine Train
 Jungle Cruise
 Pirates of the Caribbean
 Spaceship Earth
 Micky and Minnie's Runaway Railway
 Expedition Everest","Time remaining: 00:00","","France","","","Storybook Circus","","Time remaining: 00:00","","Camp Mickey","","","Germany","","Time remaining: 00:00","Time remaining: 01:53","","Ziploc","","","Chiquita","","","","Time remaining: 01:53","","","","","","","","Delta","Time remaining: 01:53","Time remaining: 04:38","Patrick Warburton","Neil Patrick Harris","Ellen Degeneres","Martin Short","Gilbert Godfrey","Robins Williams","Time remaining: 04:38","","","","","Michael Jackson","","Time remaining: 04:38","Judi Dench","","","","","","Time remaining: 04:38"
"2020-07-06 23:12:27","Time remaining: 00:00","Time remaining: 00:29","","Time remaining: 01:40","","france","","","","","Time remaining: 01:40","","","","","germany ","","Time remaining: 01:40","Time remaining: 02:54","","","","","","","","","Time remaining: 02:54","","","","","","","","","Time remaining: 02:54","Time remaining: 05:17","","neil patrick harris","","","","","Time remaining: 05:17","","","","","michael jackson","","Time remaining: 05:17","","","","","","","Time remaining: 05:16"
"2020-07-06 22:49:26","Time remaining: 00:00","Time remaining: 00:00","Mine train
 Splash mountain
 Space mountain
 Dumbo
 Test track
 Expedition Everest
 Mission space
 Small world
 Peter pans flight
 Flight of passage
 Navi river journey 
 Kilimanjaro safaris
 Finding Nemo musical
 Frozen ever after
 Soarin 
 Haunted mansion 
 Kali river rapids 
 Rockin roller coaster
 Tower of terror
 Toy story mania
 Skinny dog dash
 Buzz light year ","Time remaining: 01:41","","France","","","","","Time remaining: 01:41","","","","","Germany ","","Time remaining: 01:41","Time remaining: 03:10","","","","","","","","","Time remaining: 03:10","","","","","","","","","Time remaining: 03:10","Time remaining: 05:23","","Neil Patrick Harris ","","","","","Time remaining: 05:23","","","","","Michael Jackson ","","Time remaining: 05:23","","","","","","","Time remaining: 05:23"
"2020-07-06 22:22:39","Time remaining: 00:00","Time remaining: 00:00","Space mountain
 Splash mountain
 Thunder mountain
 Haunted mansion
 Winnie the Pooh
 Test track
 Figment
 Expedition Everest
 Seven dwarfs mine train
 Buzz lighthear space ranger spin
 Millennium facoln smugglers run
 Tower of terror
 Slinky dog dash
 Rock n rollercoaster
 Small world
 Peter Pan
 Jail river rapids
 Kilaminjaro safaris
 Dinosaur
 Alien swirling sausers","Time remaining: 00:00","Story time with belle","France","Hollywood and vine","Bazaar ","Princess royal fairtale hall","","Time remaining: 00:00","The drink place","","","Mexico","Canada","","Time remaining: 00:00","Time remaining: 00:00","Nestle","","Semens","Fed ex","Kodak","United technologies","GE","","Time remaining: 00:00","Mattel toys","","","","","","","","Time remaining: 00:00","Time remaining: 03:56","","Neil Patrick harris","","","","Robin Williams ","Time remaining: 03:56","","Kaliesha rashad","","","Michael jackson","","Time remaining: 03:56","Judy dentch","","","","","","Time remaining: 03:56"
"2020-07-06 22:13:10","Time remaining: 00:00","Time remaining: 00:00","Seven Dwarfs Mine Train
 Space Mountain
 Splash Mountain
 Big thunder Mountain
 Barnstormer
 Expedition Everest
 Peter Pan’s Flight
 Haunted Mansion
 Spaceship Earth
 Test Track
 Dinosaur
 Finding Nemo the Musical
 Star Tours
 Rockin Roller Coaster
 Tower of Terror
 Haunted Mansion
 Jungle Cruise
 Pirates of the Carribean
 Soarin
 Mission Space 
 Flight of Passage
 Navi River Journey
 It’s a Small World
 Many Adventures of Winnie the Pooh
 Dumbo the Flying Elephant
 MuppetVision 3D
 Slinky Dog Dash
 Buzz Lightyear Space Ranger Spin
 Kilimanjaro Safari
 Kali River Rapids
 Mickey’s Philharmagic 
 Under the Sea: Journey of the Little Mermaid","Time remaining: 00:00","Enchanted Tales with Belle","France","Hollywood and Vine","Agrabah Bazaar","Princess Fairytale Hall","Cinderella’s Royal Table","Time remaining: 00:00","","Big Thunder Ranch","The Barnstormer","Pirates of the Caribbean Queue","Germany","","Time remaining: 00:00","Time remaining: 00:56","General Electric","Ziploc","","","Kraft","","Siemens ","","Time remaining: 00:56","Pepsico","United Airlines","","","","","McDonalds ","Eastern Air Lines","Time remaining: 00:56","Time remaining: 04:29","Patrick Warburton","Neil Patrick Harris","Ellen Degeneres ","Martin Short","Gilbert Godfried ","Robin Williams","Time remaining: 04:29","","","","Allison Janney","Michael Jackson","","Time remaining: 04:29","Judi Dench","","","","Jon Lovitz ","","Time remaining: 04:29"
"2020-07-06 21:15:53","Time remaining: 00:00","Time remaining: 00:00","Snow White mine train
 Peter pans flight
 Dumbo
 Tomorrowland speedway
 Space mountain
 Thunder mountain
 Splash mountain
 Small world
 Avatar flight of passage
 Navi River
 Nemo play
 Everest
 Dinosaur
 Toy story mania
 Smugglers run
 Slinky dog dash
 Soarin
 Space ship earth
 Mission space
 Frozen
 Test track
 Figments imagination
 Living with the land
 Haunted mansion
 Little mermaid voyage to the sea
 Carousel
 Philimarmagic show
 Pirates of the carribian","Time remaining: 00:53","","","","","","","Time remaining: 00:53","","","","","Germany ","","Time remaining: 00:53","Time remaining: 02:42","","","","","","","","","Time remaining: 02:42","","","","","","","","","Time remaining: 02:42","Time remaining: 05:11","","","","","","Robin williams","Time remaining: 05:11","","","","","Micheal jackson","","Time remaining: 05:11","","","","","","","Time remaining: 05:11"
"2020-07-06 21:11:15","Time remaining: 00:00","Time remaining: 00:00","7dwaves
 Thunder mt
 Splash 
 Space
 Pan
 Small workd
 Mikey meet
 Haunted m as nsiob
 Pirates
 Jungle cruise 
 Buzz spin
 Dumbo
 Test track
 Soarin
 Mission space
 Spaceship earth
 Frozen
 Rock n roller coaster 
 Tower
 Toy story mania
 Slinky dash
 Alien saucers 
 Star wars 
 Everest 
 Kilimanjoro
 Pandora flight of passenge
 ","Time remaining: 00:00","","France","Hollywood and vine","","Princess hall","","Time remaining: 00:00","","","","Tom sawyer island","Germany ","Trattoria al forono ","Time remaining: 00:00","Time remaining: 00:22","","Zip lock ","Att","","","","Siemans","","Time remaining: 00:22","","","","","","","","Delta","Time remaining: 00:22","Time remaining: 03:05","Patrick Warburton ","Neil Patrick Harris ","Ellen degeneres ","Martin short","Gilbert godfried","Robin Williams ","Time remaining: 03:05","","phylicia rashad ","","","Michael Jackson","Michael Richards","Time remaining: 03:05","Dame Judy dench","","","","","","Time remaining: 03:05"
"2020-07-06 20:21:43","Time remaining: 00:00","Time remaining: 00:00","Space Mountain
 Buzz light year
 Big thunder
 Splash mountain
 Toy story
 Peter Pan
 Small world
 Mine car dwarf 
 Jungle cruise
 Piratea","Time remaining: 00:00","Belle","France","Derby","","Castle","","Time remaining: 00:00","Food and wine","Conservation Station","","Ft wilderness","Germany","China","Time remaining: 00:00","Time remaining: 00:00","Kodak","","Att","","Kodak","United ","Siemens","Michael Jackson","Time remaining: 00:00","","","","","","Aerosmith ","","","Time remaining: 00:00","Time remaining: 02:13","Patrick warburton","Neil Patrick harris","","Martin short","Gilbert godfried","Robin Williams","Time remaining: 02:13","","Felicia rashad","John m higgins","","Michael jackson","Michael richards","Time remaining: 02:13","Fame denych","Rita perlman","","","","Gary carter","Time remaining: 02:12"
"2020-07-06 19:57:52","Time remaining: 00:00","Time remaining: 00:00","Seven Dwarves Mine Train 
 Space Mountain
 Buzz Lightyear Space Ranger Spin
 Astro Orbiter
 Enchanted Tales With Belle
 Many Adventures of Winnie the Pooh
 It’s a small world
 Peter Pan’s Flight
 Haunted Mansion
 Dumbo
 Jungle Cruise
 Big Thunder Mountain
 Aladdin’s Magic Carpets
 Flight of Passage
 Navi River Journey
 It’s Tough to be a bug
 Kilimanjaro Safaris
 Dinosaur
 Star Tours
 Slinky Dog Dash
 Toy Story Mania
 Alien Swirling Saucers 
 Tower of Terror
 Smugglers Run","Time remaining: 00:00","Enchanted Tales with Belle","France","Hollywood and Vine","Bazaar","Princess Fairytale Hall","Cinderella","Time remaining: 00:00","Millennium Village","Camp Minnie Mickey","","Restaurant Akershus","Germany","Trattoria al Forno","Time remaining: 00:00","Time remaining: 00:05","GE","Ziploc","GE","","Nestle","United Technologies","Siemens","Kodak","Time remaining: 00:05","Unicef","Dole","","Metlife","General Motors","Hanes","McDonald’s","Northwest Airlines","Time remaining: 00:05","Time remaining: 03:42","Patrick Warburton","Neil Patrick Harris","Ellen DeGeneres","Martin Short","Gilbert Gottfried","Robin Williams","Time remaining: 03:42","Gina Torres ","Phylicia Rashad","Michael Huggins","Allison Janney","Michael Jackson","Michael Richards","Time remaining: 03:42","Judi Dench","Rhea Pearlman","Kevin Pollack","","Jon Lovitz","","Time remaining: 03:42"
"2020-07-06 19:56:01","Time remaining: 00:00","Time remaining: 00:00","Seven dwarfs mine train
 Splash mountain
 Big thunder mountain
 Space mountain
 Pirates of the Caribbean
 Phillharmagic
 It’s a small world
 Peter pans flight
 Enchanted tales with belle
 Under the sea with the little mermaid
 Frozen ever after
 Spaceship earth
 Mission space
 Living with the land
 Meet Mickey at town square theater
 Character spot at Epcot
 Soarin
 Avatar flight of passage
 Finding Nemo the musical
 Dinosaur
 Expedition Everest
 Festival of the lion king
 Test track
 Tower of terror
 Rock’n roller coaster
 Slinky dog dash
 Toy story mania
 Alien swirling saucers
 Millennium falcon smugglers run
 Star tours
 Indiana Jones
 Frozen song a long
 Fantasmjc","Time remaining: 00:32","","United Kingdom ","Hollywood and vine","","Princess fairytale hall","","Time remaining: 00:32","Character spot","","","","Germany","","Time remaining: 00:32","Time remaining: 02:46","","Ziploc","Siemens","","","","","","Time remaining: 02:46","","Dole","Siemens ","","","Aeromith","","","Time remaining: 02:46","Time remaining: 05:31","","","","","","","Time remaining: 05:31","","","","","Michael Jackson ","","Time remaining: 05:31","","","","","","","Time remaining: 05:30"
"2020-07-06 19:10:31","Time remaining: 00:00","Time remaining: 00:00","Haunted Mansion
 Pirates
 BTTMRR
 Jungle Cruise
 Splash Mountain
 Peter Pan
 Small World
 Seven Dwarfs Mine Train
 Dumbo
 Space Mountain
 Buzz Lightyear Spin
 Frozen Ever After
 Test Track
 Mission Space
 Soarin
 Living with the Land
 Spaceship Earth
 Imagination 
 Kilimanjaro Safari
 Flight of Passage
 Navi river Journey
 Expedition Everest
 Nemo Musical
 Lion King Musical
 Kali river rapids
 Dinosaur 
 Slinky dog","Time remaining: 00:00","Belle thing in Fantasyland","France","this has got to be a trick question","Across from the jungle cruise","Fairy Tail hall","lord idk","Time remaining: 00:00","Festival Center","Camp Minnie Mickey ","Festival of the Lion King","Cinderella's Castle","Germany","Boardwalk Inn","Time remaining: 00:00","Time remaining: 00:00","GE","Ziplock","Seimans","RCA","Nestle","United Technologies","Seimans","Kodak","Time remaining: 00:00","UNICEF","Dole","FedEx","Met Life","GM","Gibson","McDonald's","Eastern Airlines","Time remaining: 00:00","Time remaining: 02:18","Patrick Warburton","Neil Patrick Harris","Ellen Degenerous ","Martin Short","Gilbert Gottfried","Robin Williams","Time remaining: 02:13","I am so bad at this","This is the hardest Trivia Game","Who even is this","omg","Michael Jackson","Michael Richards","Time remaining: 02:13","Dame Judy Dench","Nope","Nope","Nope","Not even sure what to google to cheat","Tom Corless","Time remaining: 02:13"
"2020-07-06 18:49:48","Time remaining: 00:00","Time remaining: 00:00","Seven dwarves
 Thunder mountain
 Space mountain
 Peter on
 Pirates
 Belle
 Little mermaid
 A utopia
 Jungle cruise
 Tiki room
 Biz light year
 Monsters inc
